Source,Destination,Air Distance (km),Rail Distance (km),Road Distance (km)
Kolkata ,Hyderabad ,1184.54,1232.94,1482.19
Kolkata ,Ahmadabad ,1620.63,1686.46,2027.29
Kolkata ,Surat ,7873.95,8189.89,9843.92
Kolkata ,Chennai ,1355.3,1410.52,1695.63
Kolkata ,Jaipur ,1356.26,1411.52,1696.83
Kolkata ,Pune ,1577.22,1641.32,1973.04
Kolkata ,Kanpur ,921.48,959.35,1153.35
Kolkata ,Lucknow ,887.59,924.11,1111.0
Kolkata ,Nagpur ,972.06,1011.96,1216.59
Kolkata ,Indore ,1284.13,1336.5,1606.67
Kolkata ,Thane ,1643.9,1710.66,2056.38
Kolkata ,Pimpri Chinchwad ,1578.78,1642.94,1974.98
Kolkata ,Bhopal ,1126.83,1172.92,1410.05
Kolkata ,Patna ,470.78,490.63,589.99
Kolkata ,Visakhapatnam,753.74,784.9,943.69
Kolkata ,Ludhiana ,1550.45,1613.48,1939.57
Kolkata ,Vadodara ,1561.25,1624.71,1953.08
Kolkata ,Agra ,1163.27,1210.81,1455.6
Kolkata ,Nashik ,1537.91,1600.44,1923.9
Kolkata ,Faridabad ,1284.48,1336.86,1607.1
Kolkata ,Meerut ,1282.2,1334.5,1604.26
Kolkata ,Rajkot ,1806.96,1880.25,2260.21
Kolkata ,Vasai Virar City ,1652.49,1719.6,2067.12
Kolkata ,Varanasi ,625.12,651.13,782.9
Kolkata ,Srinagar ,1837.39,1911.89,2298.24
Kolkata ,Dhanbad ,239.78,250.39,301.24
Chennai ,Mumbai ,1031.89,1074.18,1291.37
Chennai ,Delhi ,1750.69,1821.72,2189.87
Chennai ,Bengaluru,290.95,303.61,365.2
Chennai ,Hyderabad ,511.06,532.51,640.33
Chennai ,Ahmadabad ,1367.69,1423.41,1711.12
Chennai ,Surat ,7973.73,8293.67,9968.65
Chennai ,Kolkata ,1355.3,1410.52,1695.63
Chennai ,Jaipur ,1600.11,1665.12,2001.64
Chennai ,Pune ,913.28,950.82,1143.11
Chennai ,Kanpur ,1480.94,1541.19,1852.68
Chennai ,Lucknow ,1524.3,1586.28,1906.88
Chennai ,Nagpur ,901.59,938.66,1128.49
Chennai ,Indore ,1163.84,1211.41,1456.31
Chennai ,Thane ,1032.54,1074.85,1292.18
Chennai ,Pimpri Chinchwad ,925.22,963.24,1158.04
Chennai ,Bhopal ,1166.22,1213.88,1459.29
Chennai ,Patna ,1476.9,1536.98,1847.63
Chennai ,Visakhapatnam,607.74,633.06,761.18
Chennai ,Ludhiana ,2022.88,2104.81,2530.11
Chennai ,Vadodara ,1265.61,1317.24,1583.52
Chennai ,Agra ,1577.76,1641.87,1973.7
Chennai ,Nashik ,1032.16,1074.46,1291.71
Chennai ,Faridabad ,1723.69,1793.65,2156.12
Chennai ,Meerut ,1780.22,1852.44,2226.79
Chennai ,Rajkot ,1430.87,1489.11,1790.09
Chennai ,Vasai Virar City ,1060.79,1104.23,1327.5
Chennai ,Varanasi ,1386.32,1442.79,1734.41
Chennai ,Srinagar ,2389.46,2486.05,2988.33
Chennai ,Dhanbad ,1351.9,1406.99,1691.39
Jaipur ,Mumbai ,918.66,956.42,1149.83
Jaipur ,Delhi ,231.87,242.16,291.35
Jaipur ,Bengaluru,1554.14,1617.32,1944.18
Jaipur ,Hyderabad ,1092.81,1137.53,1367.52
Jaipur ,Ahmadabad ,541.26,563.92,678.08
Jaipur ,Surat ,6601.83,6866.89,8253.77
Jaipur ,Kolkata ,1356.26,1411.52,1696.83
Jaipur ,Chennai ,1600.11,1665.12,2001.64
Jaipur ,Pune ,951.17,990.22,1190.47
Jaipur ,Kanpur ,450.94,469.99,565.19
Jaipur ,Lucknow ,508.34,529.69,636.94
Jaipur ,Nagpur ,719.61,749.41,901.02
Jaipur ,Indore ,464.72,484.32,582.41
Jaipur ,Thane ,903.44,940.59,1130.81
Jaipur ,Pimpri Chinchwad ,940.82,979.47,1177.54
Jaipur ,Bhopal ,435.42,453.85,545.79
Jaipur ,Patna ,940.44,979.06,1177.05
Jaipur ,Visakhapatnam,1276.09,1328.15,1596.62
Jaipur ,Ludhiana ,438.73,457.29,549.93
Jaipur ,Vadodara ,576.42,600.49,722.04
Jaipur ,Agra ,219.26,229.04,275.59
Jaipur ,Nashik ,792.19,824.89,991.75
Jaipur ,Faridabad ,220.99,230.84,277.75
Jaipur ,Meerut ,295.01,307.83,370.28
Jaipur ,Rajkot ,720.1,749.91,901.63
Jaipur ,Vasai Virar City ,884.86,921.27,1107.59
Jaipur ,Varanasi ,739.82,770.42,926.28
Jaipur ,Srinagar ,799.44,832.43,1000.81
Jaipur ,Dhanbad ,1122.23,1168.13,1404.3
Pune ,Mumbai ,119.98,125.79,151.48
Pune ,Delhi ,1169.18,1216.96,1462.98
Pune ,Bengaluru,732.5,762.81,917.14
Pune ,Hyderabad ,505.96,527.21,633.96
Pune ,Ahmadabad ,515.6,537.24,646.01
Pune ,Surat ,7061.24,7344.68,8828.04
Pune ,Kolkata ,1577.22,1641.32,1973.04
Pune ,Chennai ,913.28,950.82,1143.11
Pune ,Jaipur ,951.17,990.22,1190.47
Pune ,Kanpur ,1102.16,1147.26,1379.21
Pune ,Lucknow ,1173.07,1221.0,1467.84
Pune ,Nagpur ,620.04,645.86,776.56
Pune ,Indore ,510.03,531.45,639.05
Pune ,Thane ,119.3,125.08,150.63
Pune ,Pimpri Chinchwad ,13.07,14.61,17.85
Pune ,Bhopal ,641.24,667.9,803.06
Pune ,Patna ,1402.03,1459.12,1754.05
Pune ,Visakhapatnam,1003.55,1044.7,1255.95
Pune ,Ludhiana ,1382.22,1438.52,1729.28
Pune ,Vadodara ,423.67,441.63,531.09
Pune ,Agra ,1048.71,1091.67,1312.4
Pune ,Nashik ,165.05,172.67,207.83
Pune ,Faridabad ,1149.77,1196.77,1438.72
Pune ,Meerut ,1223.16,1273.1,1530.46
Pune ,Rajkot ,526.19,548.25,659.25
Pune ,Vasai Virar City ,147.61,154.53,186.03
Pune ,Varanasi ,1209.03,1258.4,1512.8
Pune ,Srinagar ,1725.93,1795.97,2158.91
Pune ,Dhanbad ,1429.85,1488.06,1788.82
Kanpur ,Mumbai ,1118.64,1164.39,1399.81
Kanpur ,Delhi ,392.96,409.69,492.71
Kanpur ,Bengaluru,1519.8,1581.6,1901.26
Kanpur ,Hyderabad ,1025.56,1067.59,1283.45
Kanpur ,Ahmadabad ,870.66,906.5,1089.84
Kanpur ,Surat ,6978.36,7258.49,8724.44
Kanpur ,Kolkata ,921.48,959.35,1153.35
Kanpur ,Chennai ,1480.94,1541.19,1852.68
Kanpur ,Jaipur ,450.94,469.99,565.19
Kanpur ,Pune ,1102.16,1147.26,1379.21
Kanpur ,Lucknow ,73.95,77.93,93.96
Kanpur ,Nagpur ,601.63,626.71,753.55
Kanpur ,Indore ,612.37,637.87,766.97
Kanpur ,Thane ,1102.63,1147.75,1379.8
Kanpur ,Pimpri Chinchwad ,1095.98,1140.83,1371.49
Kanpur ,Bhopal ,461.38,480.85,578.24
Kanpur ,Patna ,489.74,510.34,613.68
Kanpur ,Visakhapatnam,1015.11,1056.72,1270.39
Kanpur ,Ludhiana ,659.42,686.8,825.78
Kanpur ,Vadodara ,857.36,892.67,1073.21
Kanpur ,Agra ,243.08,253.82,305.36
Kanpur ,Nashik ,977.87,1018.0,1223.85
Kanpur ,Faridabad ,367.34,383.05,460.69
Kanpur ,Meerut ,380.13,396.35,476.67
Kanpur ,Rajkot ,1069.29,1113.07,1338.12
Kanpur ,Vasai Virar City ,1094.81,1139.62,1370.02
Kanpur ,Varanasi ,296.59,309.47,372.25
Kanpur ,Srinagar ,995.88,1036.72,1246.35
Kanpur ,Dhanbad ,683.06,711.4,855.34
Lucknow ,Mumbai ,1191.35,1240.01,1490.69
Lucknow ,Delhi ,420.66,438.49,527.33
Lucknow ,Bengaluru,1573.73,1637.69,1968.67
Lucknow ,Hyderabad ,1079.65,1123.85,1351.07
Lucknow ,Ahmadabad ,943.53,982.28,1180.92
Lucknow ,Surat ,6998.02,7278.94,8749.02
Lucknow ,Kolkata ,887.59,924.11,1111.0
Lucknow ,Chennai ,1524.3,1586.28,1906.88
Lucknow ,Jaipur ,508.34,529.69,636.94
Lucknow ,Pune ,1173.07,1221.0,1467.84
Lucknow ,Kanpur ,73.95,77.93,93.96
Lucknow ,Nagpur ,657.59,684.9,823.5
Lucknow ,Indore ,685.82,714.26,858.78
Lucknow ,Thane ,1175.36,1223.38,1470.7
Lucknow ,Pimpri Chinchwad ,1167.1,1214.8,1460.39
Lucknow ,Bhopal ,533.14,555.47,667.93
Lucknow ,Patna ,440.14,458.76,551.69
Lucknow ,Visakhapatnam,1038.31,1080.86,1299.4
Lucknow ,Ludhiana ,671.84,699.72,841.31
Lucknow ,Vadodara ,931.18,969.44,1165.49
Lucknow ,Agra ,292.67,305.39,367.35
Lucknow ,Nashik ,1050.56,1093.59,1314.71
Lucknow ,Faridabad ,397.5,414.42,498.39
Lucknow ,Meerut ,396.66,413.54,497.34
Lucknow ,Rajkot ,1141.95,1188.64,1428.95
Lucknow ,Vasai Virar City ,1167.85,1215.58,1461.33
Lucknow ,Varanasi ,265.92,277.57,333.91
Lucknow ,Srinagar ,993.69,1034.45,1243.62
Lucknow ,Dhanbad ,647.87,674.8,811.35
Nagpur ,Mumbai ,688.0,716.53,861.51
Nagpur ,Delhi ,850.45,885.48,1064.57
Nagpur ,Bengaluru,918.33,956.07,1149.42
Nagpur ,Hyderabad ,424.29,442.27,531.87
Nagpur ,Ahmadabad ,702.23,731.33,879.3
Nagpur ,Surat ,7270.07,7561.87,9089.07
Nagpur ,Kolkata ,972.06,1011.96,1216.59
Nagpur ,Chennai ,901.59,938.66,1128.49
Nagpur ,Jaipur ,719.61,749.41,901.02
Nagpur ,Pune ,620.04,645.86,776.56
Nagpur ,Kanpur ,601.63,626.71,753.55
Nagpur ,Lucknow ,657.59,684.9,823.5
Nagpur ,Indore ,374.79,390.79,470.0
Nagpur ,Thane ,674.5,702.49,844.63
Nagpur ,Pimpri Chinchwad ,619.43,645.22,775.8
Nagpur ,Bhopal ,290.74,303.38,364.93
Nagpur ,Patna ,790.6,823.24,989.76
Nagpur ,Visakhapatnam,583.2,607.54,730.51
Nagpur ,Ludhiana ,1126.27,1172.33,1409.35
Nagpur ,Vadodara ,622.22,648.12,779.28
Nagpur ,Agra ,676.21,704.27,846.77
Nagpur ,Nashik ,565.9,589.54,708.88
Nagpur ,Faridabad ,823.14,857.08,1030.44
Nagpur ,Meerut ,878.66,914.82,1099.83
Nagpur ,Rajkot ,865.93,901.58,1083.93
Nagpur ,Vasai Virar City ,681.5,709.77,853.38
Nagpur ,Varanasi ,613.33,638.87,768.17
Nagpur ,Srinagar ,1492.32,1553.03,1866.91
Nagpur ,Dhanbad ,810.91,844.36,1015.15
Indore ,Mumbai ,509.21,530.59,638.03
Indore ,Delhi ,667.34,695.04,835.68
Indore ,Bengaluru,1093.71,1138.47,1368.65
Indore ,Hyderabad ,652.93,680.06,817.67
Indore ,Ahmadabad ,339.1,353.68,425.39
Indore ,Surat ,6906.35,7183.6,8634.43
Indore ,Kolkata ,1284.13,1336.5,1606.67
Indore ,Chennai ,1163.84,1211.41,1456.31
Indore ,Jaipur ,464.72,484.32,582.41
Indore ,Pune ,510.03,531.45,639.05
Indore ,Kanpur ,612.37,637.87,766.97
Indore ,Lucknow ,685.82,714.26,858.78
Indore ,Nagpur ,374.79,390.79,470.0
Indore ,Thane ,493.15,513.89,617.95
Indore ,Pimpri Chinchwad ,501.65,522.73,628.57
Indore ,Bhopal ,168.17,175.91,211.73
Indore ,Patna ,993.17,1033.91,1242.97
Indore ,Visakhapatnam,953.3,992.44,1193.13
Indore ,Ludhiana ,903.45,940.6,1130.82
Indore ,Vadodara ,279.08,291.25,350.36
Indore ,Agra ,538.76,561.32,674.96
Indore ,Nashik ,369.34,385.12,463.18
Indore ,Faridabad ,646.0,672.85,809.01
Indore ,Meerut ,717.83,747.56,898.8
Indore ,Rajkot ,523.15,545.09,655.45
Indore ,Vasai Virar City ,483.49,503.84,605.87
Indore ,Varanasi ,781.76,814.04,978.71
Indore ,Srinagar ,1262.54,1314.05,1579.68
Indore ,Dhanbad ,1087.13,1131.62,1360.42
Thane ,Mumbai ,16.06,17.72,21.59
Thane ,Delhi ,1128.69,1174.85,1412.37
Thane ,Bengaluru,846.99,881.88,1060.25
Thane ,Hyderabad ,616.3,641.96,771.88
Thane ,Ahmadabad ,425.69,443.73,533.62
Thane ,Surat ,6942.23,7220.92,8679.28
Thane ,Kolkata ,1643.9,1710.66,2056.38
Thane ,Chennai ,1032.54,1074.85,1292.18
Thane ,Jaipur ,903.44,940.59,1130.81
Thane ,Pune ,119.3,125.08,150.63
Thane ,Kanpur ,1102.63,1147.75,1379.8
Thane ,Lucknow ,1175.36,1223.38,1470.7
Thane ,Nagpur ,674.5,702.49,844.63
Thane ,Indore ,493.15,513.89,617.95
Thane ,Pimpri Chinchwad ,107.66,112.98,136.09
Thane ,Bhopal ,643.44,670.19,805.81
Thane ,Patna ,1437.83,1496.35,1798.79
Thane ,Visakhapatnam,1103.15,1148.28,1380.44
Thane ,Ludhiana ,1324.66,1378.66,1657.34
Thane ,Vadodara ,344.34,359.12,431.93
Thane ,Agra ,1023.11,1065.05,1280.4
Thane ,Nashik ,124.82,130.82,157.53
Thane ,Faridabad ,1111.42,1156.88,1390.78
Thane ,Meerut ,1186.0,1234.45,1484.0
Thane ,Rajkot ,411.78,429.26,516.23
Thane ,Vasai Virar City ,29.66,31.86,38.59
Thane ,Varanasi ,1237.27,1287.77,1548.1
Thane ,Srinagar ,1658.93,1726.3,2075.17
Thane ,Dhanbad ,1484.05,1544.43,1856.58
Pimpri Chinchwad ,Mumbai ,109.29,114.68,138.13
Pimpri Chinchwad ,Delhi ,1159.46,1206.85,1450.84
Pimpri Chinchwad ,Bengaluru,745.44,776.27,933.31
Pimpri Chinchwad ,Hyderabad ,514.39,535.97,644.49
Pimpri Chinchwad ,Ahmadabad ,502.77,523.9,629.98
Pimpri Chinchwad ,Surat ,7049.1,7332.05,8812.86
Pimpri Chinchwad ,Kolkata ,1578.78,1642.94,1974.98
Pimpri Chinchwad ,Chennai ,925.22,963.24,1158.04
Pimpri Chinchwad ,Jaipur ,940.82,979.47,1177.54
Pimpri Chinchwad ,Pune ,13.07,14.61,17.85
Pimpri Chinchwad ,Kanpur ,1095.98,1140.83,1371.49
Pimpri Chinchwad ,Lucknow ,1167.1,1214.8,1460.39
Pimpri Chinchwad ,Nagpur ,619.43,645.22,775.8
Pimpri Chinchwad ,Indore ,501.65,522.73,628.57
Pimpri Chinchwad ,Thane ,107.66,112.98,136.09
Pimpri Chinchwad ,Bhopal ,634.83,661.23,795.04
Pimpri Chinchwad ,Patna ,1399.72,1456.72,1751.15
Pimpri Chinchwad ,Visakhapatnam,1009.98,1051.39,1263.98
Pimpri Chinchwad ,Ludhiana ,1371.32,1427.18,1715.66
Pimpri Chinchwad ,Vadodara ,411.14,428.6,515.44
Pimpri Chinchwad ,Agra ,1040.15,1082.76,1301.69
Pimpri Chinchwad ,Nashik ,153.13,160.27,192.93
Pimpri Chinchwad ,Faridabad ,1140.21,1186.83,1426.77
Pimpri Chinchwad ,Meerut ,1213.72,1263.28,1518.66
Pimpri Chinchwad ,Rajkot ,513.37,534.92,643.23
Pimpri Chinchwad ,Vasai Virar City ,135.57,142.0,170.97
Pimpri Chinchwad ,Varanasi ,1205.79,1255.03,1508.75
Pimpri Chinchwad ,Srinagar ,1714.46,1784.05,2144.58
Pimpri Chinchwad ,Dhanbad ,1429.75,1487.95,1788.7
Bhopal ,Mumbai ,659.36,686.74,825.71
Bhopal ,Delhi ,595.26,620.08,745.58
Bhopal ,Bengaluru,1138.19,1184.73,1424.25
Bhopal ,Hyderabad ,662.47,689.98,829.6
Bhopal ,Ahmadabad ,494.55,515.35,619.7
Bhopal ,Surat ,6985.54,7265.96,8733.42
Bhopal ,Kolkata ,1126.83,1172.92,1410.05
Bhopal ,Chennai ,1166.22,1213.88,1459.29
Bhopal ,Jaipur ,435.42,453.85,545.79
Bhopal ,Pune ,641.24,667.9,803.06
Bhopal ,Kanpur ,461.38,480.85,578.24
Bhopal ,Lucknow ,533.14,555.47,667.93
Bhopal ,Nagpur ,290.74,303.38,364.93
Bhopal ,Indore ,168.17,175.91,211.73
Bhopal ,Thane ,643.44,670.19,805.81
Bhopal ,Pimpri Chinchwad ,634.83,661.23,795.04
Bhopal ,Patna ,825.0,859.01,1032.76
Bhopal ,Visakhapatnam,868.23,903.97,1086.8
Bhopal ,Ludhiana ,858.72,894.08,1074.91
Bhopal ,Vadodara ,444.99,463.8,557.74
Bhopal ,Agra ,438.19,456.73,549.24
Bhopal ,Nashik ,518.67,540.43,649.85
Bhopal ,Faridabad ,570.03,593.84,714.05
Bhopal ,Meerut ,634.92,661.33,795.16
Bhopal ,Rajkot ,685.75,714.19,858.7
Bhopal ,Vasai Virar City ,637.44,663.95,798.31
Bhopal ,Varanasi ,613.73,639.3,768.68
Bhopal ,Srinagar ,1224.91,1274.92,1532.65
Bhopal ,Dhanbad ,923.8,961.76,1156.26
Patna ,Mumbai ,1452.82,1511.94,1817.53
Patna ,Delhi ,856.15,891.41,1071.7
Patna ,Bengaluru,1605.91,1671.16,2008.89
Patna ,Hyderabad ,1143.57,1190.33,1430.98
Patna ,Ahmadabad ,1304.5,1357.69,1632.13
Patna ,Surat ,7404.08,7701.24,9256.59
Patna ,Kolkata ,470.78,490.63,589.99
Patna ,Chennai ,1476.9,1536.98,1847.63
Patna ,Jaipur ,940.44,979.06,1177.05
Patna ,Pune ,1402.03,1459.12,1754.05
Patna ,Kanpur ,489.74,510.34,613.68
Patna ,Lucknow ,440.14,458.76,551.69
Patna ,Nagpur ,790.6,823.24,989.76
Patna ,Indore ,993.17,1033.91,1242.97
Patna ,Thane ,1437.83,1496.35,1798.79
